50.9,0,15.5,9.6,4.9,0,,,17865줄추가,,73.6,6,27.7,23.1,19.3,459.8,
40.4,0,16.7,10.1,4.5,0,,,,,99.8,57.5,20.6,19.1,17.4,459.8,
28.5,0,17.1,10.7,5.1,0,,,,,79.4,0,27.6,22.4,18,459.8,
31.1,0,16.6,10.6,5.2,0,,,,,76,0,29,23.8,20,459.8,
89.3,0,10.7,9.6,8.5,0,,,,,66.9,0,30.8,25.2,20.3,459.8,
55.9,0,17.3,11.4,7.4,0,,,,,72.1,0,31.3,25.3,19.8,459.8,
54,0,15,9.9,6.8,0,,,,,75,0,30.2,24.8,20.6,459.8,
55.4,0,14.5,10.8,8.2,0,,,,,66.5,0,28.2,23.3,19.9,459.8,
32.6,0,15.4,10.4,6,0,,,,,60.6,0,28.9,22.4,16.7,459.8,
38.1,0,15.5,10.2,4.9,0,,,,,61.1,0,29.2,23.3,17.5,459.8,
44.1,0,17.4,11.3,5.7,0,,,,,74.9,0.1,26.6,21.3,18.6,459.8,
44.4,0,18.8,12.4,6.6,0,,,,,60.9,0,28.3,23.1,18.6,459.8,
77.1,0,19,12.2,9.4,0,,,,,60.6,0,28.4,23,18.2,459.8,
26.3,0,18.4,12.1,5.9,0,,,,,64.9,0,27.5,23.1,20.6,459.8,
49.8,0,18.4,12,8,0,,,,,43.8,0,27,21.3,15.8,459.8,
70.1,0,10.7,6.7,5.8,0,,,,,52.3,0,22.6,20.2,17.6,459.8,
41.6,0,16.2,10.8,6.6,0,,,,,56.5,0,27,20.6,16.2,459.8,
49.3,0,16.8,11.2,6.3,0,,,,,55,0,28.4,21.4,14.9,459.8,
32.4,0,18,13.5,8,0,,,,,52.5,0,28.1,21.6,15.4,459.8,
83.9,0,14.5,8.9,7.4,0,,,,,61.6,0,25.6,20.2,17.5,459.8,
59.6,0,14.2,9.7,6.1,0,,,,,57.5,0,27.9,21.4,15,459.8,
58.5,0,13.9,9.7,6.1,0,,,,,52.1,0,29,23,18.1,459.8,
61,0,15.7,11.3,7.2,0,,,,,77.9,6.5,23.8,20.3,18,459.8,
82,0,11.4,10.5,9.1,0,,,,,66.9,0,27.7,22.2,17.7,459.8,
74.3,0,14.2,11.4,8.7,0,,,,,78.1,0,24.2,21,18.6,459.8,
57,0,15.3,10.4,7.3,0,,,,,79,0,25.1,21.4,18.3,459.8,
47.4,0,18.4,13.2,7.3,0,,,,,85.5,0.5,24.7,21.7,19.2,459.8,
93.6,0,14.6,13,10.6,0,,,,,99,16,20.7,19.4,17.7,459.8,
74.9,0,15.7,12.5,9.9,0,,,,,72.5,0,23.7,18.9,15.4,459.8,
168.5,0,30.3,25.5,20.5,0,,,,,171.5,16,44.4,38.3,33.1,459.8,
215.9,0,48.7,38.7,27.8,0,,,,,257,16.5,69.1,60,52.3,459.8,
