,0,1,2,3,4
0,103.0,0.2,50.8,41.599999999999994,35.2
1,143.8,0.2,76.19999999999999,63.199999999999996,54.0
2,201.8,0.30000000000000004,102.19999999999999,84.1,70.4
3,267.4,0.6000000000000001,125.6,103.39999999999999,87.5
4,312.2,0.6000000000000001,151.7,123.19999999999999,101.6
5,357.59999999999997,0.6000000000000001,178.29999999999998,143.7,117.8
6,410.59999999999997,0.6000000000000001,202.29999999999998,163.39999999999998,134.8
7,450.09999999999997,0.6000000000000001,230.1,185.49999999999997,153.10000000000002
8,484.7,0.6000000000000001,259.4,208.79999999999998,170.90000000000003
9,519.5,0.6000000000000001,288.29999999999995,231.79999999999998,188.10000000000002
10,558.6,0.6000000000000001,316.99999999999994,253.1,202.60000000000002
11,596.6,0.6000000000000001,342.79999999999995,272.6,215.70000000000002
12,648.0,0.6000000000000001,367.29999999999995,290.70000000000005,227.70000000000002
13,704.6,1.1,387.79999999999995,307.30000000000007,241.60000000000002
14,763.2,1.1,409.79999999999995,323.9000000000001,254.3
15,828.5,1.1,432.49999999999994,340.80000000000007,267.3
16,907.3,7.6,449.69999999999993,356.9000000000001,282.40000000000003
17,960.3,7.6,474.8999999999999,376.0000000000001,297.20000000000005
18,1018.1999999999999,7.6,495.99999999999994,393.10000000000014,311.6
19,1073.6,7.6,515.1999999999999,409.3000000000001,324.8
20,1118.6999999999998,7.6,541.8,429.40000000000015,340.3
21,1164.1,7.6,569.1999999999999,450.10000000000014,355.3
22,1191.6,7.6,597.1999999999999,470.90000000000015,369.5
23,1224.8999999999999,7.6,622.0999999999999,489.40000000000015,381.7
24,1256.8,7.6,646.1999999999999,507.50000000000017,394.8
25,1299.2,7.6,671.0999999999999,526.3000000000002,408.3
26,1348.0,7.6,696.8,546.0000000000002,422.6
27,1401.8,7.8,722.1999999999999,566.0000000000002,439.6
28,1449.1,8.2,751.3,589.1000000000003,458.6
29,110.9,0.2,53.9,42.3,32.900000000000006
30,155.3,0.2,77.5,63.0,51.50000000000001
31,196.10000000000002,0.2,102.9,84.6,70.30000000000001
32,254.10000000000002,0.30000000000000004,128.9,105.5,86.70000000000002
33,319.70000000000005,0.6000000000000001,152.3,124.8,103.80000000000001
34,364.50000000000006,0.6000000000000001,178.4,144.6,117.9
35,409.90000000000003,0.6000000000000001,205.0,165.1,134.1
36,462.90000000000003,0.6000000000000001,229.0,184.79999999999998,151.1
37,502.40000000000003,0.6000000000000001,256.8,206.89999999999998,169.4
38,537.0,0.6000000000000001,286.1,230.2,187.20000000000002
39,571.8,0.6000000000000001,315.0,253.2,204.4
40,610.9,0.6000000000000001,343.7,274.5,218.9
41,648.9,0.6000000000000001,369.5,294.0,232.0
42,700.3,0.6000000000000001,394.0,312.1,244.0
43,756.9,1.1,414.5,328.70000000000005,257.9
44,815.5,1.1,436.5,345.30000000000007,270.59999999999997
45,880.8,1.1,459.2,362.20000000000005,283.59999999999997
46,959.5999999999999,7.6,476.4,378.30000000000007,298.7
47,1012.5999999999999,7.6,501.59999999999997,397.4000000000001,313.5
48,1070.5,7.6,522.6999999999999,414.5000000000001,327.9
49,1125.9,7.6,541.9,430.7000000000001,341.09999999999997
50,1171.0,7.6,568.5,450.8000000000001,356.59999999999997
51,1216.4,7.6,595.9,471.5000000000001,371.59999999999997
52,1243.9,7.6,623.9,492.3000000000001,385.79999999999995
53,1277.2,7.6,648.8,510.8000000000001,397.99999999999994
54,1309.1000000000001,7.6,672.9,528.9000000000001,411.09999999999997
55,1351.5000000000002,7.6,697.8,547.7,424.59999999999997
56,1400.3000000000002,7.6,723.5,567.4000000000001,438.9
57,1454.1000000000001,7.8,748.9,587.4000000000001,455.9
58,97.1,0.0,55.5,44.5,35.5
59,155.7,0.2,82.7,65.4,52.1
60,200.1,0.2,106.30000000000001,86.10000000000001,70.7
61,240.89999999999998,0.2,131.70000000000002,107.70000000000002,89.5
62,298.9,0.30000000000000004,157.70000000000002,128.60000000000002,105.9
63,364.5,0.6000000000000001,181.10000000000002,147.90000000000003,123.0
64,409.3,0.6000000000000001,207.20000000000002,167.70000000000005,137.1
65,454.7,0.6000000000000001,233.8,188.20000000000005,153.29999999999998
66,507.7,0.6000000000000001,257.8,207.90000000000003,170.29999999999998
67,547.2,0.6000000000000001,285.6,230.00000000000003,188.6
68,581.8000000000001,0.6000000000000001,314.90000000000003,253.30000000000004,206.4
69,616.6,0.6000000000000001,343.8,276.30000000000007,223.6
70,655.7,0.6000000000000001,372.5,297.6000000000001,238.1
71,693.7,0.6000000000000001,398.3,317.1000000000001,251.2
72,745.1,0.6000000000000001,422.8,335.2000000000001,263.2
73,801.7,1.1,443.3,351.8000000000001,277.09999999999997
74,860.3000000000001,1.1,465.3,368.40000000000015,289.79999999999995
75,925.6,1.1,488.0,385.3000000000001,302.79999999999995
76,1004.4,7.6,505.2,401.40000000000015,317.9
77,1057.4,7.6,530.4,420.50000000000017,332.7
78,1115.3000000000002,7.6,551.5,437.6000000000002,347.09999999999997
79,1170.7000000000003,7.6,570.7,453.8000000000002,360.29999999999995
80,1215.8000000000002,7.6,597.3000000000001,473.9000000000002,375.79999999999995
81,1261.2000000000003,7.6,624.7,494.6000000000002,390.79999999999995
82,1288.7000000000003,7.6,652.7,515.4000000000002,404.99999999999994
83,1322.0000000000002,7.6,677.6,533.9000000000002,417.19999999999993
84,1353.9000000000003,7.6,701.7,552.0000000000002,430.29999999999995
85,1396.3000000000004,7.6,726.6,570.8000000000002,443.79999999999995
86,1445.1000000000004,7.6,752.3000000000001,590.5000000000002,458.09999999999997
87,83.69999999999999,0.0,57.900000000000006,46.400000000000006,37.2
88,136.0,0.0,84.60000000000001,67.80000000000001,53.5
89,194.6,0.2,111.80000000000001,88.70000000000002,70.1
90,239.0,0.2,135.4,109.40000000000002,88.69999999999999
91,279.8,0.2,160.8,131.00000000000003,107.49999999999999
92,337.8,0.30000000000000004,186.8,151.90000000000003,123.89999999999998
93,403.4,0.6000000000000001,210.20000000000002,171.20000000000005,140.99999999999997
94,448.2,0.6000000000000001,236.3,191.00000000000006,155.09999999999997
95,493.59999999999997,0.6000000000000001,262.90000000000003,211.50000000000006,171.29999999999995
