50.9,0,15.5,9.6,4.9,0,,,,,,,2011-5 신일어린이집 모기
40.4,0,16.7,10.1,4.5,0,,,,,,,
28.5,0,17.1,10.7,5.1,0,,,,,,,
31.1,0,16.6,10.6,5.2,0,,,,,,,
89.3,0,10.7,9.6,8.5,0,,,,,,,
55.9,0,17.3,11.4,7.4,0,,,,,,,
54,0,15,9.9,6.8,0,,,,,,,
55.4,0,14.5,10.8,8.2,0,,,,,,,
32.6,0,15.4,10.4,6,0,,,,,,,
38.1,0,15.5,10.2,4.9,0,,,,,,,
44.1,0,17.4,11.3,5.7,0,,,,,,,
44.4,0,18.8,12.4,6.6,0,,,,,,,
77.1,0,19,12.2,9.4,0,,,,,,,
26.3,0,18.4,12.1,5.9,0,,,,,,,
49.8,0,18.4,12,8,0,,,,,,,
70.1,0,10.7,6.7,5.8,0,,,,,,,
41.6,0,16.2,10.8,6.6,0,,,,,,,
49.3,0,16.8,11.2,6.3,0,,,,,,,
32.4,0,18,13.5,8,0,,,,,,,
83.9,0,14.5,8.9,7.4,0,,,,,,,
59.6,0,14.2,9.7,6.1,0,,,,,,,
58.5,0,13.9,9.7,6.1,0,,,,,,,
61,0,15.7,11.3,7.2,0,,,,,,,
82,0,11.4,10.5,9.1,0,,,,,,,
74.3,0,14.2,11.4,8.7,0,,,,,,,
57,0,15.3,10.4,7.3,0,,,,,,,
47.4,0,18.4,13.2,7.3,0,,,,,,,
93.6,0,14.6,13,10.6,0,,,,,,,
74.9,0,15.7,12.5,9.9,0,,,,,,,
168.5,0,30.3,25.5,20.5,0,,,,,,,
215.9,0,48.7,38.7,27.8,0,,,,,,,
272.9,0,64,49.1,35.1,0,,,,,,,
347.2,0,78.2,60.5,43.8,0,,,,,,,
429.2,0,89.6,71,52.9,0,,,,,,,
490.2,0,105.3,82.3,60.1,0,,,,,,,
548.7,0,119.2,92,66.2,0,,,,,,,
608.3,0,133.4,101.7,72.3,0,,,,,,,
692.2,0,147.9,110.6,79.7,0,,,,,,,
724.6,0,165.9,124.1,87.7,0,,,,,,,
773.9,0,182.7,135.3,94,0,,,,,,,
815.5,0,198.9,146.1,100.6,0,,,,,,,
885.6,0,209.6,152.8,106.4,0,,,,,,,
935.4,0,228,164.8,114.4,0,,,,,,,
961.7,0,246.4,176.9,120.3,0,,,,,,,
1038.8,0,265.4,189.1,129.7,0,,,,,,,
1083.2,0,284.2,201.5,136.3,0,,,,,,,
1127.3,0,301.6,212.8,142,0,,,,,,,
1165.4,0,317.1,223,146.9,0,,,,,,,
1198,0,332.5,233.4,152.9,0,,,,,,,
1253.4,0,347,244.2,161.1,0,,,,,,,
1307.4,0,362,254.1,167.9,0,,,,,,,
1363.3,0,379.3,265.5,175.3,0,,,,,,,
1452.6,0,390,275.1,183.8,0,,,,,,,
1483.7,0,406.6,285.7,189,0,,,,,,,
1512.2,0,423.7,296.4,194.1,0,,,,,,,
1552.6,0,440.4,306.5,198.6,0,,,,,,,
1603.5,0,455.9,316.1,203.5,0,,,,,,,
1655.1,0,468.7,325,208.8,0,2011-05-02,,,,,,
40.4,0,16.7,10.1,4.5,0,,,,,,,
28.5,0,17.1,10.7,5.1,0,,,,,,,
31.1,0,16.6,10.6,5.2,0,,,,,,,
89.3,0,10.7,9.6,8.5,0,,,,,,,
55.9,0,17.3,11.4,7.4,0,,,,,,,
54,0,15,9.9,6.8,0,,,,,,,
55.4,0,14.5,10.8,8.2,0,,,,,,,
32.6,0,15.4,10.4,6,0,,,,,,,
38.1,0,15.5,10.2,4.9,0,,,,,,,
44.1,0,17.4,11.3,5.7,0,,,,,,,
44.4,0,18.8,12.4,6.6,0,,,,,,,
