2015-01-01,41.4,0,-4.3,-7.7,-9.8,
2015-01-02,45.9,0,-1.9,-6,-9,
2015-01-03,56.1,0,3.1,-2.7,-9.2,
2015-01-04,70.1,0,8.5,2.5,0.2,
2015-01-05,73.1,0.4,7.9,3.7,-1.1,
2015-01-06,52.4,3,4,-3.2,-7.6,
2015-01-07,33.1,0,-0.6,-5.5,-8.9,
2015-01-08,45.8,0,-0.2,-5.1,-9.5,
2015-01-09,58.3,0,3.5,-2.1,-6.8,
2015-01-10,56.5,0,4.8,-0.3,-5.6,
2015-01-11,57.8,0,2.5,-0.4,-4.3,
2015-01-12,37.8,0,3.7,-2.7,-7.3,
2015-01-13,39.6,0,5.8,0.2,-5.1,
2015-01-14,41.1,0,6.1,2.5,-0.3,
2015-01-15,53.6,0,9,2.8,-1.1,
2015-01-16,73,0.3,3.4,0.8,-2.5,
2015-01-17,46,0,0,-4.1,-7.7,
2015-01-18,68.4,4,2.1,-1.3,-6.5,
2015-01-19,68.1,0.1,3.1,-0.1,-4,
2015-01-20,55.8,0,4.4,-0.9,-6.4,
2015-01-21,58.3,0,6.5,2.6,-1.2,
2015-01-22,60.6,0,7.1,3.1,0.8,
2015-01-23,66.4,0,4.9,1.2,-1.6,
2015-01-24,62.9,0,8.4,3.7,0.8,
2015-01-25,78.4,3,5,3,1.1,
2015-01-26,87.5,0.5,6.5,3.6,0.2,
2015-01-27,55.4,0,0.5,-3.6,-7.4,
2015-01-28,49.3,0,2.7,-4.1,-9.1,
2015-01-29,56.4,0,3,-1.1,-4.6,
2015-01-30,51.8,0,0.8,-3.3,-7,
2015-01-31,46.4,0,0.8,-4.5,-8.5,
2015-02-01,44.9,0,3.6,-3,-8.2,
2015-02-02,47.3,0,6.4,-0.6,-5.3,
2015-02-03,54.5,0,7.2,0.6,-3.5,
2015-02-04,64.5,0,5.8,0.4,-3.1,
2015-02-05,57.1,0,4.8,-0.1,-3.8,
2015-02-06,57.3,0,6.5,0.4,-4.3,
2015-02-07,65.3,0,5.7,1.2,-2.7,
2015-02-08,34.1,0,-2.8,-9.8,-11.9,
2015-02-09,54.6,0.2,-0.1,-5.7,-13,
2015-02-10,69,0,5.8,1.7,-2,
2015-02-11,60.3,0,8,2.7,-0.8,
2015-02-12,36.8,0,1.6,-2.2,-4.7,
2015-02-13,46.4,0,4,-1.6,-6.4,
2015-02-14,72.9,0,6.6,2,-3.1,
2015-02-15,61.6,0,13,7.9,3.2,
2015-02-16,91.9,10.5,7.9,5,4.1,
2015-02-17,78.5,0.5,4.1,1.9,0.5,
2015-02-18,72,0,3.3,0.8,-1.5,
2015-02-19,67.1,0,8.6,2.2,-2.7,
2015-02-20,55.3,0,11.4,5.2,-1.3,
2015-02-21,79,8,6.7,5.7,4.8,
2015-02-22,78,2.5,7,3.5,-0.7,
2015-02-23,60.4,0,5.9,0.9,-2.4,
2015-02-24,60,0,7.5,2.1,-1.1,
2015-02-25,48.6,0.5,12.5,5.4,0.2,
2015-02-26,56.9,0.5,4.7,1.2,-3.5,
2015-02-27,35.6,0,4.8,-1.3,-5.6,
2015-02-28,40.5,0,6.4,2.7,-2,
2015-03-01,56.8,0,5.9,2.4,-0.2,
2015-03-02,43.5,0,9.7,3.9,-1.9,
2015-03-03,69.5,5.5,6.7,2.8,-1.3,
2015-03-04,43.4,0,1.4,-2.1,-4.6,
2015-03-05,41.1,0,5.5,-0.3,-5.4,
2015-03-06,37.8,0,10.4,2.9,-3.2,
2015-03-07,45.5,0,11,4.2,-2.3,
2015-03-08,42.5,0,15.1,7.7,0.4,
2015-03-09,43.4,0,8.2,2.2,-5.4,
